ID,Data,Produto,Categoria,Quantidade,Preco
50,2023-04-21,Relogio Inteligente,Eletronicos,35,899.9
51,2023-11-18,Creatina,Suplemento,4,139.9
52,2023-01-11,Multi-vitaminico,Suplemento,28,89.9
53,2023-02-17,Monitor Cardiaco,Eletronicos,19,353.0
54,2023-03-16,Mochila,Acessorios,5,120.0
55,2023-10-30,Multi-vitaminico,Suplemento,30,89.9
56,2023-02-14,Cantil,Acessorios,32,35.0
57,2023-02-05,Mochila,Acessorios,10,120.0
58,2023-04-05,Livro de Receitas Fitnes,Educacao,44,65.0
59,2023-03-08,Cantil,Acessorios,35,35.0
60,2023-08-20,Mochila,Acessorios,18,120.0
61,2023-11-16,Relogio Inteligente,Eletronicos,46,899.9
62,2023-11-08,Barrinha de Cereal,Alimentos,50,4.5
63,2023-10-05,Mini Trampolim,Equipamento Esportivo,26,350.0
64,2023-11-17,Cantil,Acessorios,20,35.0
65,2023-09-28,Relogio Inteligente,Eletronicos,29,899.9
66,2023-12-09,Barraca de Camping,Lazer,41,680.0
67,2023-07-23,Luvas,Acessorios,47,97.0
68,2023-05-25,Calca,Vestuario,34,246.0
69,2023-06-01,Livro de Receitas Fitnes,Educacao,42,65.0
70,2023-10-17,Mini Trampolim,Equipamento Esportivo,31,350.0
71,2023-04-21,Camiseta,Vestuario,27,79.9
72,2023-03-06,Relogio Inteligente,Eletronicos,44,899.9
73,2023-05-02,Mochila,Acessorios,8,120.0
74,2023-09-04,Barraca de Camping,Lazer,27,680.0
75,2023-04-05,Creatina,Suplemento,33,139.9
76,2023-08-17,Mini Trampolim,Equipamento Esportivo,20,350.0
77,2023-06-24,Cantil,Acessorios,37,35.0
78,2023-07-23,Cantil,Acessorios,44,35.0
79,2023-05-17,Mini Trampolim,Equipamento Esportivo,8,350.0
80,2023-06-20,Multi-vitaminico,Suplemento,21,89.9
81,2023-06-03,Monitor Cardiaco,Eletronicos,1,353.0
82,2023-11-01,Tenis,Vestuario,21,299.99
83,2023-10-14,Monitor Cardiaco,Eletronicos,37,353.0
84,2023-12-13,Barrinha de Cereal,Alimentos,18,4.5
85,2023-08-22,Livro de Receitas Fitnes,Educacao,26,65.0
86,2023-10-25,Camiseta,Vestuario,24,79.9
87,2023-06-24,Mochila,Acessorios,44,120.0
88,2023-06-04,Creatina,Suplemento,1,139.9
89,2023-08-19,Monitor Cardiaco,Eletronicos,36,353.0
90,2023-01-04,Barrinha de Cereal,Alimentos,6,4.5
91,2023-10-27,Relogio Inteligente,Eletronicos,2,899.9
92,2023-10-30,Creatina,Suplemento,27,139.9
93,2023-11-05,Barraca de Camping,Lazer,2,680.0
94,2023-06-27,Bicicleta,Equipamento Esportivo,49,2450.0
95,2023-07-09,Meias,Vestuario,25,19.9
96,2023-04-22,Luvas,Acessorios,24,97.0
97,2023-03-22,Barraca de Camping,Lazer,1,680.0
98,2023-07-30,Meias,Vestuario,6,19.9
99,2023-03-01,Luvas,Acessorios,40,97.0
100,2023-11-27,Calca,Vestuario,19,246.0
101,2023-08-13,Calca,Vestuario,49,246.0
102,2023-07-25,Livro de Receitas Fitnes,Educacao,21,65.0
103,2023-05-13,Calca,Vestuario,13,246.0
104,2023-02-06,Multi-vitaminico,Suplemento,15,89.9
105,2023-05-05,Creatina,Suplemento,43,139.9
106,2023-05-01,Mini Trampolim,Equipamento Esportivo,35,350.0
107,2023-12-06,Livro de Receitas Fitnes,Educacao,47,65.0
108,2023-12-15,Multi-vitaminico,Suplemento,43,89.9
109,2023-04-14,Barraca de Camping,Lazer,47,680.0
110,2023-01-11,Creatina,Suplemento,48,139.9
111,2023-11-13,Tenis,Vestuario,43,299.99
112,2023-09-16,Camiseta,Vestuario,5,79.9
113,2023-01-04,Mochila,Acessorios,43,120.0
114,2023-11-09,Barraca de Camping,Lazer,1,680.0
115,2023-04-09,Meias,Vestuario,7,19.9
116,2023-03-05,Luvas,Acessorios,22,97.0
117,2023-08-19,Bicicleta,Equipamento Esportivo,42,2450.0
118,2023-08-09,Cantil,Acessorios,16,35.0
119,2023-12-04,Luvas,Acessorios,34,97.0
120,2023-01-14,Bicicleta,Equipamento Esportivo,30,2450.0
121,2023-11-14,Meias,Vestuario,46,19.9
122,2023-02-25,Tenis,Vestuario,23,299.99
123,2023-03-21,Multi-vitaminico,Suplemento,19,89.9
124,2023-03-31,Multi-vitaminico,Suplemento,34,89.9
125,2023-07-14,Cantil,Acessorios,40,35.0
126,2023-12-20,Meias,Vestuario,32,19.9
127,2023-07-31,Barraca de Camping,Lazer,2,680.0
128,2023-01-22,Multi-vitaminico,Suplemento,9,89.9
129,2023-12-21,Calca,Vestuario,31,246.0
130,2023-12-11,Calca,Vestuario,3,246.0
131,2023-09-09,Multi-vitaminico,Suplemento,38,89.9
132,2023-12-13,Relogio Inteligente,Eletronicos,36,899.9
133,2023-06-22,Livro de Receitas Fitnes,Educacao,34,65.0
134,2023-04-16,Meias,Vestuario,16,19.9
135,2023-10-03,Bicicleta,Equipamento Esportivo,50,2450.0
136,2023-04-10,Camiseta,Vestuario,6,79.9
137,2023-05-29,Meias,Vestuario,12,19.9
138,2023-07-17,Barrinha de Cereal,Alimentos,9,4.5
139,2023-04-02,Monitor Cardiaco,Eletronicos,46,353.0
140,2023-10-31,Mini Trampolim,Equipamento Esportivo,13,350.0
141,2023-01-31,Monitor Cardiaco,Eletronicos,46,353.0
142,2023-02-22,Multi-vitaminico,Suplemento,1,89.9
143,2023-04-01,Monitor Cardiaco,Eletronicos,38,353.0
144,2023-10-06,Creatina,Suplemento,9,139.9
145,2023-06-16,Creatina,Suplemento,18,139.9
146,2023-06-12,Meias,Vestuario,4,19.9
147,2023-01-11,Tenis,Vestuario,42,299.99
148,2023-09-07,Creatina,Suplemento,27,139.9
149,2023-08-30,Mini Trampolim,Equipamento Esportivo,12,350.0
150,2023-07-03,Mini Trampolim,Equipamento Esportivo,22,350.0
151,2023-05-25,Camiseta,Vestuario,35,79.9
152,2023-07-21,Barraca de Camping,Lazer,46,680.0
153,2023-11-25,Barraca de Camping,Lazer,32,680.0
154,2023-06-28,Camiseta,Vestuario,1,79.9
155,2023-12-28,Calca,Vestuario,17,246.0
156,2023-03-10,Livro de Receitas Fitnes,Educacao,27,65.0
157,2023-10-06,Barrinha de Cereal,Alimentos,22,4.5
158,2023-06-12,Multi-vitaminico,Suplemento,17,89.9
159,2023-02-04,Multi-vitaminico,Suplemento,46,89.9
160,2023-09-18,Livro de Receitas Fitnes,Educacao,42,65.0
161,2023-12-21,Barrinha de Cereal,Alimentos,40,4.5
162,2023-12-03,Meias,Vestuario,11,19.9
163,2023-06-10,Barrinha de Cereal,Alimentos,15,4.5
164,2023-05-18,Creatina,Suplemento,9,139.9
165,2023-02-26,Multi-vitaminico,Suplemento,32,89.9
166,2023-03-18,Mochila,Acessorios,37,120.0
167,2023-04-12,Camiseta,Vestuario,19,79.9
168,2023-12-25,Cantil,Acessorios,35,35.0
169,2023-03-12,Luvas,Acessorios,29,97.0
170,2023-09-05,Bicicleta,Equipamento Esportivo,6,2450.0
171,2023-12-05,Mini Trampolim,Equipamento Esportivo,46,350.0
172,2023-09-20,Barrinha de Cereal,Alimentos,25,4.5
173,2023-03-19,Relogio Inteligente,Eletronicos,21,899.9
174,2023-10-15,Calca,Vestuario,34,246.0
175,2023-07-03,Barrinha de Cereal,Alimentos,28,4.5
176,2023-06-03,Cantil,Acessorios,15,35.0
177,2023-05-06,Barrinha de Cereal,Alimentos,5,4.5
178,2023-05-01,Bicicleta,Equipamento Esportivo,22,2450.0
179,2023-03-13,Cantil,Acessorios,7,35.0
180,2023-05-28,Relogio Inteligente,Eletronicos,44,899.9
181,2023-01-10,Camiseta,Vestuario,11,79.9
182,2023-11-25,Calca,Vestuario,34,246.0
183,2023-08-10,Mini Trampolim,Equipamento Esportivo,50,350.0
184,2023-01-07,Luvas,Acessorios,39,97.0
185,2023-10-20,Cantil,Acessorios,19,35.0
186,2023-03-10,Livro de Receitas Fitnes,Educacao,26,65.0
187,2023-07-11,Camiseta,Vestuario,34,79.9
188,2023-11-21,Barraca de Camping,Lazer,8,680.0
189,2023-12-12,Monitor Cardiaco,Eletronicos,22,353.0
190,2023-03-12,Livro de Receitas Fitnes,Educacao,15,65.0
191,2023-05-07,Tenis,Vestuario,47,299.99
192,2023-11-10,Multi-vitaminico,Suplemento,10,89.9
193,2023-01-26,Tenis,Vestuario,9,299.99
194,2023-04-08,Mochila,Acessorios,14,120.0
195,2023-03-30,Tenis,Vestuario,22,299.99
196,2023-02-10,Mochila,Acessorios,43,120.0
197,2023-09-30,Tenis,Vestuario,15,299.99
198,2023-10-12,Barraca de Camping,Lazer,35,680.0
199,2023-07-10,Tenis,Vestuario,38,299.99
200,2023-08-07,Barrinha de Cereal,Alimentos,33,4.5
201,2023-05-23,Multi-vitaminico,Suplemento,41,89.9
202,2023-12-09,Relogio Inteligente,Eletronicos,35,899.9
203,2023-02-07,Barrinha de Cereal,Alimentos,47,4.5
204,2023-12-29,Monitor Cardiaco,Eletronicos,40,353.0
205,2023-06-21,Livro de Receitas Fitnes,Educacao,5,65.0
206,2023-07-17,Mini Trampolim,Equipamento Esportivo,42,350.0
207,2023-07-13,Cantil,Acessorios,14,35.0
208,2023-03-10,Camiseta,Vestuario,49,79.9
209,2023-09-12,Bicicleta,Equipamento Esportivo,34,2450.0
210,2023-08-20,Calca,Vestuario,38,246.0
211,2023-05-27,Bicicleta,Equipamento Esportivo,22,2450.0
212,2023-12-15,Mochila,Acessorios,40,120.0
213,2023-09-13,Mochila,Acessorios,4,120.0
214,2023-04-02,Luvas,Acessorios,14,97.0
215,2023-02-18,Multi-vitaminico,Suplemento,14,89.9
216,2023-08-02,Barraca de Camping,Lazer,9,680.0
217,2023-12-13,Cantil,Acessorios,5,35.0
218,2023-01-27,Barraca de Camping,Lazer,44,680.0
219,2023-03-22,Bicicleta,Equipamento Esportivo,2,2450.0
220,2023-12-30,Mochila,Acessorios,5,120.0
221,2023-02-15,Calca,Vestuario,44,246.0
222,2023-04-27,Meias,Vestuario,43,19.9
223,2023-06-20,Barraca de Camping,Lazer,9,680.0
224,2023-12-06,Livro de Receitas Fitnes,Educacao,3,65.0
225,2023-11-05,Tenis,Vestuario,24,299.99
226,2023-01-06,Barraca de Camping,Lazer,47,680.0
227,2023-11-19,Luvas,Acessorios,34,97.0
228,2023-05-27,Monitor Cardiaco,Eletronicos,43,353.0
229,2023-09-19,Barrinha de Cereal,Alimentos,1,4.5
230,2023-10-04,Mini Trampolim,Equipamento Esportivo,50,350.0
231,2023-05-03,Multi-vitaminico,Suplemento,10,89.9
232,2023-11-05,Calca,Vestuario,22,246.0
233,2023-05-19,Camiseta,Vestuario,23,79.9
234,2023-07-06,Tenis,Vestuario,23,299.99
235,2023-11-01,Mini Trampolim,Equipamento Esportivo,17,350.0
236,2023-04-19,Meias,Vestuario,10,19.9
237,2023-07-19,Barraca de Camping,Lazer,8,680.0
238,2023-12-18,Tenis,Vestuario,30,299.99
239,2023-07-26,Bicicleta,Equipamento Esportivo,32,2450.0
240,2023-10-26,Mochila,Acessorios,48,120.0
241,2023-12-31,Tenis,Vestuario,16,299.99
242,2023-12-11,Camiseta,Vestuario,6,79.9
243,2023-09-20,Mochila,Acessorios,11,120.0
244,2023-08-25,Multi-vitaminico,Suplemento,47,89.9
245,2023-01-06,Luvas,Acessorios,41,97.0
246,2023-07-18,Mini Trampolim,Equipamento Esportivo,34,350.0
247,2023-03-23,Monitor Cardiaco,Eletronicos,37,353.0
248,2023-09-20,Luvas,Acessorios,44,97.0
249,2023-12-19,Mochila,Acessorios,1,120.0
250,2023-08-08,Relogio Inteligente,Eletronicos,8,899.9
251,2023-09-27,Tenis,Vestuario,20,299.99
252,2023-07-19,Luvas,Acessorios,48,97.0
253,2023-11-05,Livro de Receitas Fitnes,Educacao,18,65.0
254,2023-09-03,Meias,Vestuario,39,19.9
255,2023-01-07,Mini Trampolim,Equipamento Esportivo,4,350.0
256,2023-04-30,Luvas,Acessorios,41,97.0
257,2023-02-28,Livro de Receitas Fitnes,Educacao,12,65.0
258,2023-04-25,Calca,Vestuario,17,246.0
259,2023-10-07,Relogio Inteligente,Eletronicos,2,899.9
260,2023-03-03,Barrinha de Cereal,Alimentos,50,4.5
261,2023-03-20,Livro de Receitas Fitnes,Educacao,47,65.0
262,2023-06-28,Bicicleta,Equipamento Esportivo,50,2450.0
263,2023-04-12,Bicicleta,Equipamento Esportivo,13,2450.0
264,2023-05-03,Monitor Cardiaco,Eletronicos,13,353.0
265,2023-09-05,Livro de Receitas Fitnes,Educacao,19,65.0
266,2023-04-23,Cantil,Acessorios,24,35.0
267,2023-04-19,Bicicleta,Equipamento Esportivo,34,2450.0
268,2023-12-03,Bicicleta,Equipamento Esportivo,23,2450.0
269,2023-06-19,Meias,Vestuario,38,19.9
270,2023-09-11,Barrinha de Cereal,Alimentos,49,4.5
271,2023-04-16,Tenis,Vestuario,17,299.99
272,2023-08-28,Monitor Cardiaco,Eletronicos,12,353.0
273,2023-08-07,Mini Trampolim,Equipamento Esportivo,20,350.0
274,2023-10-02,Tenis,Vestuario,9,299.99
275,2023-04-16,Mini Trampolim,Equipamento Esportivo,25,350.0
276,2023-10-23,Barrinha de Cereal,Alimentos,4,4.5
277,2023-02-08,Monitor Cardiaco,Eletronicos,34,353.0
278,2023-10-26,Bicicleta,Equipamento Esportivo,4,2450.0
279,2023-11-27,Multi-vitaminico,Suplemento,18,89.9
280,2023-04-10,Creatina,Suplemento,36,139.9
281,2023-01-14,Camiseta,Vestuario,30,79.9
282,2023-07-19,Cantil,Acessorios,12,35.0
283,2023-08-07,Multi-vitaminico,Suplemento,11,89.9
284,2023-11-26,Monitor Cardiaco,Eletronicos,43,353.0
285,2023-01-09,Multi-vitaminico,Suplemento,9,89.9
286,2023-05-16,Mini Trampolim,Equipamento Esportivo,31,350.0
287,2023-11-18,Livro de Receitas Fitnes,Educacao,37,65.0
288,2023-08-14,Livro de Receitas Fitnes,Educacao,47,65.0
289,2023-12-29,Bicicleta,Equipamento Esportivo,16,2450.0
290,2023-01-03,Cantil,Acessorios,48,35.0
291,2023-11-21,Barrinha de Cereal,Alimentos,11,4.5
292,2023-07-14,Meias,Vestuario,47,19.9
293,2023-08-18,Creatina,Suplemento,47,139.9
294,2023-10-26,Creatina,Suplemento,45,139.9
295,2023-05-27,Monitor Cardiaco,Eletronicos,17,353.0
296,2023-08-13,Camiseta,Vestuario,2,79.9
297,2023-08-31,Luvas,Acessorios,46,97.0
298,2023-12-26,Camiseta,Vestuario,12,79.9
299,2023-10-14,Bicicleta,Equipamento Esportivo,30,2450.0
300,2023-02-22,Cantil,Acessorios,12,35.0
301,2023-08-08,Multi-vitaminico,Suplemento,24,89.9
302,2023-04-13,Luvas,Acessorios,42,97.0
303,2023-02-24,Relogio Inteligente,Eletronicos,18,899.9
304,2023-05-26,Camiseta,Vestuario,40,79.9
305,2023-03-28,Luvas,Acessorios,12,97.0
306,2023-01-01,Mini Trampolim,Equipamento Esportivo,27,350.0
307,2023-04-07,Mochila,Acessorios,31,120.0
308,2023-07-10,Multi-vitaminico,Suplemento,20,89.9
309,2023-07-22,Multi-vitaminico,Suplemento,6,89.9
310,2023-03-04,Camiseta,Vestuario,8,79.9
311,2023-03-22,Multi-vitaminico,Suplemento,31,89.9
312,2023-11-03,Calca,Vestuario,46,246.0
313,2023-02-24,Bicicleta,Equipamento Esportivo,22,2450.0
314,2023-03-22,Barrinha de Cereal,Alimentos,35,4.5
315,2023-11-08,Barrinha de Cereal,Alimentos,34,4.5
316,2023-10-01,Luvas,Acessorios,14,97.0
317,2023-07-26,Livro de Receitas Fitnes,Educacao,45,65.0
318,2023-09-17,Livro de Receitas Fitnes,Educacao,47,65.0
319,2023-03-09,Monitor Cardiaco,Eletronicos,35,353.0
320,2023-03-22,Monitor Cardiaco,Eletronicos,50,353.0
321,2023-11-08,Bicicleta,Equipamento Esportivo,44,2450.0
322,2023-01-30,Mochila,Acessorios,38,120.0
323,2023-10-27,Luvas,Acessorios,3,97.0
324,2023-11-30,Mini Trampolim,Equipamento Esportivo,9,350.0
325,2023-08-30,Multi-vitaminico,Suplemento,32,89.9
326,2023-01-05,Monitor Cardiaco,Eletronicos,39,353.0
327,2023-08-19,Creatina,Suplemento,15,139.9
328,2023-02-01,Livro de Receitas Fitnes,Educacao,23,65.0
329,2023-01-09,Cantil,Acessorios,10,35.0
330,2023-10-04,Cantil,Acessorios,22,35.0
331,2023-07-04,Meias,Vestuario,4,19.9
332,2023-02-21,Barrinha de Cereal,Alimentos,33,4.5
333,2023-11-25,Luvas,Acessorios,41,97.0
334,2023-04-04,Monitor Cardiaco,Eletronicos,44,353.0
335,2023-09-28,Barrinha de Cereal,Alimentos,4,4.5
336,2023-02-05,Tenis,Vestuario,4,299.99
337,2023-05-26,Bicicleta,Equipamento Esportivo,15,2450.0
338,2023-01-20,Creatina,Suplemento,23,139.9
339,2023-08-20,Livro de Receitas Fitnes,Educacao,30,65.0
340,2023-05-20,Meias,Vestuario,1,19.9
341,2023-09-20,Creatina,Suplemento,22,139.9
342,2023-04-05,Tenis,Vestuario,35,299.99
343,2023-03-22,Luvas,Acessorios,49,97.0
344,2023-07-22,Cantil,Acessorios,29,35.0
345,2023-07-28,Creatina,Suplemento,17,139.9
346,2023-12-31,Tenis,Vestuario,38,299.99
347,2023-07-16,Cantil,Acessorios,38,35.0
348,2023-06-05,Cantil,Acessorios,18,35.0
349,2023-05-17,Livro de Receitas Fitnes,Educacao,21,65.0
350,2023-06-06,Tenis,Vestuario,47,299.99
351,2023-04-05,Calca,Vestuario,38,246.0
352,2023-04-13,Mochila,Acessorios,30,120.0
353,2023-10-15,Barraca de Camping,Lazer,33,680.0
354,2023-03-27,Calca,Vestuario,3,246.0
355,2023-06-19,Tenis,Vestuario,46,299.99
356,2023-03-13,Creatina,Suplemento,17,139.9
357,2023-07-18,Meias,Vestuario,33,19.9
358,2023-10-28,Luvas,Acessorios,12,97.0
359,2023-09-12,Meias,Vestuario,46,19.9
360,2023-04-02,Multi-vitaminico,Suplemento,4,89.9
361,2023-07-24,Mini Trampolim,Equipamento Esportivo,7,350.0
362,2023-04-28,Livro de Receitas Fitnes,Educacao,37,65.0
363,2023-09-19,Bicicleta,Equipamento Esportivo,40,2450.0
364,2023-04-30,Luvas,Acessorios,4,97.0
365,2023-05-02,Barrinha de Cereal,Alimentos,50,4.5
366,2023-01-18,Mochila,Acessorios,36,120.0
367,2023-04-18,Monitor Cardiaco,Eletronicos,30,353.0
368,2023-08-10,Barraca de Camping,Lazer,41,680.0
369,2023-10-25,Cantil,Acessorios,5,35.0
370,2023-07-09,Creatina,Suplemento,44,139.9
371,2023-06-30,Barrinha de Cereal,Alimentos,15,4.5
372,2023-08-21,Barrinha de Cereal,Alimentos,9,4.5
373,2023-10-05,Barraca de Camping,Lazer,3,680.0
374,2023-04-02,Barraca de Camping,Lazer,39,680.0
375,2023-07-22,Mini Trampolim,Equipamento Esportivo,14,350.0
376,2023-12-31,Bicicleta,Equipamento Esportivo,39,2450.0
377,2023-03-22,Creatina,Suplemento,8,139.9
378,2023-12-01,Mini Trampolim,Equipamento Esportivo,10,350.0
379,2023-08-18,Luvas,Acessorios,25,97.0
380,2023-09-30,Bicicleta,Equipamento Esportivo,22,2450.0
381,2023-11-10,Barraca de Camping,Lazer,12,680.0
382,2023-07-08,Mochila,Acessorios,19,120.0
383,2023-08-18,Cantil,Acessorios,48,35.0
384,2023-02-05,Multi-vitaminico,Suplemento,2,89.9
385,2023-10-28,Camiseta,Vestuario,42,79.9
386,2023-09-23,Camiseta,Vestuario,20,79.9
387,2023-11-05,Barraca de Camping,Lazer,26,680.0
388,2023-10-03,Meias,Vestuario,49,19.9
389,2023-01-31,Camiseta,Vestuario,26,79.9
390,2023-07-10,Bicicleta,Equipamento Esportivo,6,2450.0
391,2023-09-15,Bicicleta,Equipamento Esportivo,35,2450.0
392,2023-08-05,Luvas,Acessorios,42,97.0
393,2023-05-10,Bicicleta,Equipamento Esportivo,2,2450.0
394,2023-11-16,Livro de Receitas Fitnes,Educacao,32,65.0
395,2023-02-19,Livro de Receitas Fitnes,Educacao,46,65.0
396,2023-07-30,Calca,Vestuario,25,246.0
397,2023-04-05,Monitor Cardiaco,Eletronicos,34,353.0
398,2023-09-06,Luvas,Acessorios,50,97.0
399,2023-10-02,Mochila,Acessorios,33,120.0
400,2023-10-26,Livro de Receitas Fitnes,Educacao,24,65.0
401,2023-07-31,Creatina,Suplemento,25,139.9
402,2023-07-03,Mochila,Acessorios,40,120.0
403,2023-05-13,Cantil,Acessorios,47,35.0
404,2023-11-06,Relogio Inteligente,Eletronicos,27,899.9
405,2023-08-27,Camiseta,Vestuario,34,79.9
406,2023-03-28,Mini Trampolim,Equipamento Esportivo,17,350.0
407,2023-09-19,Bicicleta,Equipamento Esportivo,41,2450.0
408,2023-06-13,Cantil,Acessorios,47,35.0
409,2023-09-14,Luvas,Acessorios,18,97.0
410,2023-06-01,Livro de Receitas Fitnes,Educacao,2,65.0
411,2023-12-23,Creatina,Suplemento,21,139.9
412,2023-10-04,Monitor Cardiaco,Eletronicos,13,353.0
413,2023-03-02,Multi-vitaminico,Suplemento,41,89.9
414,2023-03-30,Livro de Receitas Fitnes,Educacao,6,65.0
415,2023-01-18,Tenis,Vestuario,11,299.99
416,2023-04-20,Meias,Vestuario,20,19.9
417,2023-03-20,Cantil,Acessorios,22,35.0
418,2023-10-01,Monitor Cardiaco,Eletronicos,18,353.0
419,2023-08-19,Luvas,Acessorios,11,97.0
420,2023-03-17,Monitor Cardiaco,Eletronicos,14,353.0
421,2023-01-22,Relogio Inteligente,Eletronicos,21,899.9
422,2023-07-10,Calca,Vestuario,45,246.0
423,2023-01-03,Luvas,Acessorios,22,97.0
424,2023-09-23,Barraca de Camping,Lazer,18,680.0
425,2023-05-30,Calca,Vestuario,43,246.0
426,2023-04-11,Mochila,Acessorios,48,120.0
427,2023-12-16,Bicicleta,Equipamento Esportivo,38,2450.0
428,2023-01-02,Calca,Vestuario,35,246.0
429,2023-12-28,Camiseta,Vestuario,41,79.9
430,2023-03-07,Barraca de Camping,Lazer,15,680.0
431,2023-03-11,Mochila,Acessorios,9,120.0
432,2023-08-06,Bicicleta,Equipamento Esportivo,26,2450.0
433,2023-03-20,Relogio Inteligente,Eletronicos,28,899.9
434,2023-02-01,Tenis,Vestuario,4,299.99
435,2023-12-18,Tenis,Vestuario,40,299.99
436,2023-07-25,Livro de Receitas Fitnes,Educacao,24,65.0
437,2023-02-19,Bicicleta,Equipamento Esportivo,8,2450.0
438,2023-05-03,Meias,Vestuario,4,19.9
439,2023-05-07,Calca,Vestuario,31,246.0
440,2023-08-18,Creatina,Suplemento,36,139.9
441,2023-02-02,Creatina,Suplemento,37,139.9
442,2023-12-20,Meias,Vestuario,38,19.9
443,2023-12-09,Barrinha de Cereal,Alimentos,40,4.5
444,2023-10-16,Barrinha de Cereal,Alimentos,4,4.5
445,2023-08-03,Multi-vitaminico,Suplemento,20,89.9
446,2023-09-19,Bicicleta,Equipamento Esportivo,50,2450.0
447,2023-07-14,Creatina,Suplemento,16,139.9
448,2023-03-17,Creatina,Suplemento,50,139.9
449,2023-05-19,Camiseta,Vestuario,41,79.9
450,2023-12-12,Tenis,Vestuario,26,299.99
451,2023-01-23,Creatina,Suplemento,24,139.9
452,2023-11-19,Barraca de Camping,Lazer,38,680.0
453,2023-03-27,Livro de Receitas Fitnes,Educacao,1,65.0
454,2023-04-29,Livro de Receitas Fitnes,Educacao,26,65.0
455,2023-10-18,Livro de Receitas Fitnes,Educacao,24,65.0
456,2023-09-23,Luvas,Acessorios,42,97.0
457,2023-06-14,Calca,Vestuario,22,246.0
458,2023-12-08,Cantil,Acessorios,50,35.0
459,2023-10-31,Barraca de Camping,Lazer,40,680.0
460,2023-12-20,Calca,Vestuario,30,246.0
461,2023-10-04,Barrinha de Cereal,Alimentos,37,4.5
462,2023-09-25,Monitor Cardiaco,Eletronicos,14,353.0
463,2023-12-12,Creatina,Suplemento,42,139.9
464,2023-03-02,Cantil,Acessorios,34,35.0
465,2023-09-02,Camiseta,Vestuario,18,79.9
466,2023-07-24,Relogio Inteligente,Eletronicos,32,899.9
467,2023-03-26,Mochila,Acessorios,6,120.0
468,2023-07-13,Calca,Vestuario,50,246.0
469,2023-03-09,Camiseta,Vestuario,2,79.9
470,2023-01-19,Mochila,Acessorios,23,120.0
471,2023-11-10,Creatina,Suplemento,19,139.9
472,2023-12-27,Luvas,Acessorios,40,97.0
473,2023-11-02,Meias,Vestuario,20,19.9
474,2023-12-16,Luvas,Acessorios,40,97.0
475,2023-07-11,Mini Trampolim,Equipamento Esportivo,38,350.0
476,2023-08-24,Camiseta,Vestuario,16,79.9
477,2023-06-26,Camiseta,Vestuario,40,79.9
478,2023-07-29,Multi-vitaminico,Suplemento,29,89.9
479,2023-10-10,Relogio Inteligente,Eletronicos,41,899.9
